zcta,downloadDate,population,fullyVaxxed,pctFullyVaxxed
46930,2021-09-02,126,0,0
46931,2021-09-02,187,86,0.459893048128342
46932,2021-09-02,3057,1146,0.374877330716389
46933,2021-09-02,6126,2158,0.352269017303297
46936,2021-09-02,5857,2206,0.376643332764214
46938,2021-09-02,2928,900,0.307377049180328
46939,2021-09-02,1819,673,0.36998350742166
46940,2021-09-02,2658,848,0.319036869826938
46941,2021-09-02,970,330,0.34020618556701
46943,2021-09-02,225,48,0.213333333333333
46946,2021-09-02,34,0,0
46947,2021-09-02,27830,10631,0.38199784405318
46950,2021-09-02,566,207,0.365724381625442
46951,2021-09-02,1874,609,0.324973319103522
46952,2021-09-02,18625,7717,0.414335570469799
46953,2021-09-02,23333,6706,0.28740410577294
46957,2021-09-02,592,191,0.322635135135135
46958,2021-09-02,458,157,0.342794759825328
46959,2021-09-02,838,49,0.058472553699284
46960,2021-09-02,1062,419,0.394538606403013
46961,2021-09-02,169,20,0.118343195266272
46962,2021-09-02,8844,3314,0.374717322478517
46967,2021-09-02,97,0,0
46968,2021-09-02,142,0,0
46970,2021-09-02,23499,7283,0.309928082046044
46974,2021-09-02,2079,472,0.227032227032227
46975,2021-09-02,14325,4848,0.338429319371728
46978,2021-09-02,2135,684,0.320374707259953
46979,2021-09-02,4940,2006,0.406072874493927
46982,2021-09-02,2660,724,0.27218045112782
46984,2021-09-02,188,108,0.574468085106383
46985,2021-09-02,1438,458,0.318497913769124
46986,2021-09-02,1683,667,0.396316102198455
46987,2021-09-02,884,379,0.428733031674208
46988,2021-09-02,967,199,0.205791106514995
46989,2021-09-02,4947,1604,0.324236911259349
46990,2021-09-02,741,234,0.315789473684211
46991,2021-09-02,1614,521,0.322800495662949
46992,2021-09-02,16260,5648,0.347355473554736
46994,2021-09-02,2815,845,0.300177619893428
46996,2021-09-02,6159,2780,0.451371975970125
46998,2021-09-02,226,27,0.119469026548673
47001,2021-09-02,10009,3992,0.398841043061245
47003,2021-09-02,890,341,0.38314606741573
47006,2021-09-02,11880,5616,0.472727272727273
47010,2021-09-02,220,104,0.472727272727273
47011,2021-09-02,788,275,0.348984771573604
47012,2021-09-02,9396,3610,0.384206045125585
47016,2021-09-02,796,327,0.410804020100503
47017,2021-09-02,481,197,0.40956340956341
47018,2021-09-02,4477,1522,0.339959794505249
47020,2021-09-02,1432,305,0.212988826815642
47022,2021-09-02,2980,1266,0.424832214765101
47023,2021-09-02,1665,483,0.29009009009009
47024,2021-09-02,3708,653,0.176105717367853
47025,2021-09-02,22794,9617,0.421909274370448
47030,2021-09-02,2038,426,0.209028459273798
47031,2021-09-02,5477,1786,0.326090925689246
47032,2021-09-02,3116,1193,0.382862644415918
47034,2021-09-02,135,62,0.459259259259259
47035,2021-09-02,246,75,0.304878048780488
47036,2021-09-02,882,570,0.646258503401361
47037,2021-09-02,4553,1336,0.293432901383703
47038,2021-09-02,1716,335,0.195221445221445
47040,2021-09-02,5103,2150,0.421320791691162
47041,2021-09-02,6626,2059,0.310745547841835
47042,2021-09-02,4089,1471,0.359745659085351
47043,2021-09-02,5212,1795,0.344397544128933
47060,2021-09-02,5942,2640,0.444294850218782
47102,2021-09-02,6953,2304,0.331367754925931
47104,2021-09-02,0,0,
47106,2021-09-02,5005,2147,0.428971028971029
47108,2021-09-02,2352,785,0.333758503401361
47110,2021-09-02,417,135,0.323741007194245
47111,2021-09-02,16971,7614,0.448647693123564
47112,2021-09-02,16593,7408,0.446453323690713
47114,2021-09-02,328,179,0.545731707317073
47115,2021-09-02,3025,1009,0.333553719008264
47116,2021-09-02,681,244,0.358296622613803
47117,2021-09-02,4531,1781,0.393069962480689
47118,2021-09-02,3474,1199,0.345135290731146
47119,2021-09-02,11700,6798,0.581025641025641
47120,2021-09-02,741,352,0.475033738191633
47122,2021-09-02,10943,5656,0.516860093210271
47123,2021-09-02,122,0,0
47124,2021-09-02,5146,2401,0.466575981344734
47125,2021-09-02,1554,619,0.398326898326898
47126,2021-09-02,4698,1987,0.422945934440187
47129,2021-09-02,19684,8741,0.444066246697826
47130,2021-09-02,46645,23000,0.493086075677993
47135,2021-09-02,938,445,0.474413646055437
47136,2021-09-02,4482,2213,0.493752788933512
47137,2021-09-02,1499,611,0.407605070046698
47138,2021-09-02,4378,1678,0.383280036546368
47140,2021-09-02,2559,965,0.377100429855412
47141,2021-09-02,1542,596,0.38651102464332
47142,2021-09-02,1049,289,0.275500476644423
47143,2021-09-02,3063,1572,0.513222331047992
47145,2021-09-02,1913,773,0.404077365394668
47147,2021-09-02,1273,433,0.340141398271799
47150,2021-09-02,47912,23487,0.490211220571047
47160,2021-09-02,113,0,0
47161,2021-09-02,3305,1489,0.45052950075643
47162,2021-09-02,801,335,0.418227215980025
47163,2021-09-02,1210,655,0.541322314049587
47164,2021-09-02,4115,1419,0.344835965978129
47165,2021-09-02,6034,2211,0.366423599602254
47166,2021-09-02,1515,618,0.407920792079208
47167,2021-09-02,14879,6024,0.404865918408495
47170,2021-09-02,14919,6098,0.408740532207252
47172,2021-09-02,17813,9729,0.546174142480211
47175,2021-09-02,1033,336,0.325266214908035
47177,2021-09-02,1241,537,0.432715551974214
47201,2021-09-02,44831,23388,0.521692578795923
47203,2021-09-02,26807,14760,0.550602454582758
47220,2021-09-02,5671,2393,0.421971433609593
47223,2021-09-02,1024,451,0.4404296875
47224,2021-09-02,520,143,0.275
47226,2021-09-02,260,77,0.296153846153846
47227,2021-09-02,2299,502,0.218355806872553
47229,2021-09-02,3261,1193,0.365838699785342
47230,2021-09-02,1439,724,0.503127171646977
47231,2021-09-02,858,373,0.434731934731935
47232,2021-09-02,3327,1058,0.318004207995191
47234,2021-09-02,1457,559,0.383665065202471
47235,2021-09-02,1488,716,0.481182795698925
47240,2021-09-02,21836,8782,0.402179886426085
47243,2021-09-02,5907,2134,0.361266294227188
47244,2021-09-02,734,285,0.388283378746594
47246,2021-09-02,4600,1787,0.388478260869565
47247,2021-09-02,194,68,0.350515463917526
47250,2021-09-02,22202,10284,0.463201513377173
47260,2021-09-02,1705,611,0.358357771260997
47263,2021-09-02,255,60,0.235294117647059
47264,2021-09-02,1197,458,0.382623224728488
47265,2021-09-02,20344,7148,0.351356665355879
47270,2021-09-02,530,254,0.479245283018868
47272,2021-09-02,2185,713,0.326315789473684
47273,2021-09-02,2210,716,0.323981900452489
47274,2021-09-02,31352,13539,0.431838479203879
47280,2021-09-02,979,348,0.355464759959142
47281,2021-09-02,1237,625,0.505254648342765
47282,2021-09-02,293,147,0.501706484641638
47283,2021-09-02,3193,1239,0.388036329470717
47302,2021-09-02,26018,9434,0.362595126450919
47303,2021-09-02,25124,9229,0.367338003502627
47304,2021-09-02,32105,16462,0.512755022582152
47305,2021-09-02,3504,1294,0.369292237442922
47306,2021-09-02,5096,249,0.048861852433281
47320,2021-09-02,3648,1739,0.476699561403509
47324,2021-09-02,149,32,0.214765100671141
47325,2021-09-02,663,226,0.340874811463047
47326,2021-09-02,2195,371,0.169020501138952
47327,2021-09-02,4512,1501,0.332668439716312
47330,2021-09-02,5196,2186,0.420708237105466
47331,2021-09-02,22391,7351,0.328301549729802
47334,2021-09-02,3189,1350,0.423330197554092
47335,2021-09-02,753,233,0.309428950863214
47336,2021-09-02,3243,1217,0.375269811902559
47337,2021-09-02,138,65,0.471014492753623
47338,2021-09-02,2789,950,0.340623879526712
47339,2021-09-02,497,214,0.430583501006036
47340,2021-09-02,2998,1063,0.354569713142095
47341,2021-09-02,2382,720,0.302267002518892
47342,2021-09-02,2558,1071,0.418686473807662
47344,2021-09-02,124,0,0
47345,2021-09-02,1406,421,0.299431009957326
47346,2021-09-02,3911,1445,0.369470723600102
47348,2021-09-02,9159,3598,0.392837646031226
47351,2021-09-02,540,157,0.290740740740741
47352,2021-09-02,860,349,0.405813953488372
47353,2021-09-02,5508,2098,0.380900508351489
