zcta,downloadDate,cases
46324,2021-08-12,2651
46517,2021-08-12,4058
46240,2021-08-12,1906
46250,2021-08-12,1995
46319,2021-08-12,1997
46637,2021-08-12,2102
47170,2021-08-12,1751
47501,2021-08-12,2144
47720,2021-08-12,2338
47834,2021-08-12,2086
46528,2021-08-12,3902
46563,2021-08-12,3190
46580,2021-08-12,3130
46725,2021-08-12,2874
46816,2021-08-12,2066
46845,2021-08-12,3530
46901,2021-08-12,4864
46951,2021-08-12,174
46703,2021-08-12,2332
46706,2021-08-12,2435
46733,2021-08-12,2275
46755,2021-08-12,2135
46077,2021-08-12,3222
46158,2021-08-12,2519
46208,2021-08-12,2131
46214,2021-08-12,2879
47374,2021-08-12,5060
47401,2021-08-12,2864
47404,2021-08-12,2141
47546,2021-08-12,3157
46806,2021-08-12,2867
46815,2021-08-12,3154
46947,2021-08-12,4934
46953,2021-08-12,2458
46168,2021-08-12,4435
46204,2021-08-12,1310
46241,2021-08-12,3054
46268,2021-08-12,2572
46970,2021-08-12,2849
47025,2021-08-12,2916
47274,2021-08-12,3563
47331,2021-08-12,2803
46203,2021-08-12,3675
46219,2021-08-12,3371
46220,2021-08-12,3487
46222,2021-08-12,3663
46239,2021-08-12,3882
46545,2021-08-12,3079
46628,2021-08-12,3330
47130,2021-08-12,5196
46224,2021-08-12,4063
46235,2021-08-12,3366
46237,2021-08-12,5284
46254,2021-08-12,4142
47304,2021-08-12,3071
47362,2021-08-12,3898
47403,2021-08-12,2907
47630,2021-08-12,5005
46135,2021-08-12,2090
46236,2021-08-12,2825
46312,2021-08-12,3339
46323,2021-08-12,2612
47150,2021-08-12,5179
47201,2021-08-12,4440
47203,2021-08-12,2816
47303,2021-08-12,2631
46131,2021-08-12,3976
46140,2021-08-12,4811
46142,2021-08-12,3756
46151,2021-08-12,3417
47408,2021-08-12,1777
47712,2021-08-12,3229
46074,2021-08-12,4389
46143,2021-08-12,7201
46322,2021-08-12,2713
46342,2021-08-12,3994
46375,2021-08-12,2835
46530,2021-08-12,4121
46368,2021-08-12,4635
46383,2021-08-12,4732
46385,2021-08-12,4855
46410,2021-08-12,4486
46514,2021-08-12,5933
46526,2021-08-12,5224
46544,2021-08-12,3941
46902,2021-08-12,4339
47591,2021-08-12,2779
46032,2021-08-12,5208
