zcta,vote16Trump,acsSchPub,acsSchPrv,acsWhiteNonHisp,acsBlackNonHisp,acsAsianNonHisp,acsHispanic,acsOther,acsBAorMore,upsai
46062,0.686442193182072,6523,1276,32076,673,705,1365,530,0.494797537501084,suburban
46146,0.81989247311828,126,0,416,0,0,0,0,0,rural
46183,0.723263506063947,0,0,15,0,0,0,0,0,rural
46704,0.729333333333333,9,0,38,0,0,0,0,0.689655172413793,rural
46771,0.813211845102506,38,0,0,0,0,0,72,0,rural
46786,0.795238095238095,0,0,39,0,0,0,0,0,rural
46915,0.827373612823674,114,0,694,0,0,0,0,0.175403225806452,rural
46922,0.653276955602537,0,0,31,0,0,0,0,0.555555555555556,rural
46967,0.784722222222222,12,0,95,0,0,0,2,0.117647058823529,rural
46984,0.8125,46,0,188,0,0,0,0,0.47887323943662,rural
46126,0.7848503881719,840,112,4825,0,0,56,75,0.258944815039418,rural
46998,0.806701030927835,24,0,226,0,0,0,0,0,rural
46001,0.719373823720136,1516,141,9762,28,0,132,71,0.163864388092613,rural
46012,0.617596281484008,1997,401,16983,1303,193,641,686,0.232913800673204,suburban
46030,0.770973869800553,477,37,2891,15,6,59,7,0.206077872744539,rural
46290,0.561485105160551,0,0,187,0,0,0,0,1,suburban
46312,0.0736634837932735,5809,562,1894,9836,25,16287,159,0.0911956766494033,urban
46376,0.739118986634734,40,2,235,0,0,1,7,0.0979020979020979,rural
46383,0.501984984359662,5835,1006,36204,1184,799,3157,901,0.363487602717797,suburban
46394,0.361310352968136,1987,170,6793,330,87,4949,160,0.182758620689655,suburban
46402,0.0337196505882598,1267,87,326,5499,17,345,108,0.129327902240326,urban
46407,0.0207475315004344,1882,226,497,9904,41,295,168,0.104838709677419,urban
46514,0.633557274226379,6959,749,32327,2150,575,5144,1420,0.205191160996142,suburban
46582,0.791250218888737,2432,275,10882,115,543,1756,163,0.269372269487238,rural
46721,0.816897870252527,1128,47,4793,17,24,180,70,0.114217727543129,rural
46748,0.766990674405689,1335,161,4623,33,0,238,127,0.341655266757866,suburban
46760,0.751244240156861,169,50,1276,4,0,101,0,0.149206349206349,rural
46761,0.749056210912702,1555,870,11466,17,11,636,195,0.0999723068402105,rural
46776,0.742433302834227,448,5,1336,0,0,343,36,0.0336363636363636,rural
46793,0.7447777816545,686,220,4690,0,15,123,46,0.182695400450306,rural
46797,0.826118744524969,478,237,3790,8,1,76,40,0.169611307420495,rural
46391,0.611959430448119,1117,118,7313,1610,22,381,202,0.0966588752921765,rural
46045,0.833787465940054,0,0,39,0,0,0,0,0,rural
46056,0.778403167280583,452,66,2191,5,0,34,8,0.201021059349075,rural
46057,0.80899098886948,187,51,1249,2,0,4,14,0.110807113543092,rural
46531,0.732808957920964,301,0,1357,173,0,34,15,0.0775646371976647,rural
46542,0.800536299734137,686,89,3425,3,6,619,89,0.0788158400615148,rural
46545,0.493160121966818,3073,352,19225,2115,703,1384,1258,0.275824112160362,suburban
46550,0.826746731368051,2131,598,11352,33,209,922,108,0.14419032597266,rural
46556,0.321972295456642,17,7,5452,223,664,682,280,0.837378640776699,suburban
46565,0.830154280144919,1122,608,8487,0,4,41,110,0.0650786899191833,rural
46570,0.83286509303752,102,0,769,26,24,14,0,0.1632,rural
